ID,Longitude,Latitude,Label,Description,Type,Floor
460,-79.24604775,43.11986317,G301,,R,3
461,-79.2459981,43.11986184,G301A,,R,3
462,-79.24592507,43.11986156,G302,,R,3
463,-79.24579688,43.1198548,,,T,2
464,-79.24583379,43.11986149,G304,,R,3
465,-79.24574023,43.11986269,G305,,R,3
466,-79.24572143,43.11986338,G306,,R,3
467,-79.24565678,43.11986149,G308,,R,3
468,-79.24565678,43.11984416,G309,,R,3
469,-79.24678968,43.11990606,H300,,R,3
470,-79.24678527,43.11999936,H303,,R,3
471,-79.24678674,43.12012429,H305,,R,3
472,-79.24678858,43.12013957,H307,,R,3
473,-79.24678968,43.12022376,H308,,R,3
474,-79.24676911,43.11990767,H301,,R,3
475,-79.24676985,43.12005217,H304,,R,3
476,-79.24676911,43.12012805,H306,,R,3
477,-79.24677278,43.12022965,H309,,R,3
478,-79.24681449,43.12028976,H311D,,R,3
479,-79.24672614,43.12028381,,,T,3
480,-79.24673091,43.12034654,H311,,R,3
481,-79.24665892,43.120294,H313,,R,3
482,-79.24659318,43.12027416,H314,,R,3
483,-79.24652009,43.12029587,H315,,R,3
484,-79.24613267,43.12028412,,,T,3
485,-79.24649033,43.12023877,H317,,R,3
486,-79.24649033,43.1201436,H319,,R,3
487,-79.24648887,43.12000713,H321,,R,3
488,-79.2464896,43.11999614,H322,,R,3
489,-79.24648776,43.1199074,H325,,R,3
490,-79.24647895,43.12022965,H316,,R,3
491,-79.24647821,43.12020606,H318,,R,3
492,-79.24647601,43.12010606,H320,,R,3
493,-79.24647344,43.11998274,H323,,R,3
494,-79.246472,43.11990353,H324,,R,3
495,-79.24834455,43.11980796,,,T,3
496,-79.24830083,43.11980865,,,T,3
497,-79.24830036,43.1198313,,,S,0
498,-79.24834627,43.11973689,,,T,3
499,-79.24843846,43.11973502,,,S,0
500,-79.24847996,43.11973716,,,T,2
501,-79.24848107,43.11968166,,,T,2
502,-79.24842377,43.11968065,,,T,2
503,-79.24842447,43.11962934,,,T,2
504,-79.24827905,43.11968032,,,T,2
505,-79.24825099,43.11965868,,,T,2
506,-79.24825077,43.11961759,,,T,2
507,-79.24824935,43.11955213,,,T,2
508,-79.24772233,43.11935721,,,T,2
509,-79.24774942,43.1193578,,,T,2
510,-79.24796649,43.11951062,,,T,2
511,-79.24803554,43.11946397,,,T,2
512,-79.24807484,43.11943072,,,T,2
513,-79.24799146,43.11937121,,,T,2
514,-79.24793857,43.11937308,,,T,2
515,-79.24766191,43.11935464,,,T,2
516,-79.24746563,43.11944472,,,T,2
517,-79.24747221,43.11961716,,,T,2
518,-79.24720212,43.11981105,,,T,2
519,-79.24715746,43.11981654,,,T,2
520,-79.24715722,43.11978257,,,T,2
521,-79.24698562,43.11981774,,,T,2
522,-79.2468984,43.11981491,,,T,2
523,-79.24684734,43.11977925,,,T,2
524,-79.24640476,43.11978006,,,T,2
525,-79.24635187,43.11977791,,,T,2
526,-79.24627149,43.11981448,,,T,2
527,-79.2461965,43.1198361,,,T,2
528,-79.24617958,43.11985515,,,T,2
529,-79.24586998,43.11985566,,,T,2
530,-79.24579524,43.11982031,,,T,2
531,-79.24570756,43.11981894,,,T,2
532,-79.2457069,43.11959266,,,T,2
533,-79.24564776,43.11958998,,,T,2
534,-79.24554272,43.11951142,,,T,2
535,-79.2455126,43.11948354,,,T,2
536,-79.24554088,43.1194629,,,T,2
537,-79.2453947,43.11961973,,,T,2
538,-79.24554748,43.1197268,,,T,2
539,-79.24557851,43.11943425,,,T,2
540,-79.2456911,43.11951678,,,T,2
541,-79.24566689,43.1195384,,,T,2
542,-79.24562434,43.119571,,,T,2
543,-79.24575763,43.11956346,,,T,2
544,-79.24581121,43.11952456,,,T,2
545,-79.24602901,43.11936156,,,T,2
546,-79.24577301,43.11916826,,,T,2
547,-79.24557871,43.11930525,,,T,2
548,-79.24556252,43.11929561,,,T,2
549,-79.2455912,43.1192704,,,T,2
550,-79.24599926,43.11932965,,,T,2
551,-79.24603759,43.11930522,,,T,2
552,-79.24636316,43.1193579,,,T,2
553,-79.24655865,43.11935351,,,T,2
554,-79.24661852,43.11931598,,,T,2
555,-79.24667463,43.11935292,,,T,2
556,-79.24676764,43.11935646,,,T,2
557,-79.24678276,43.11941864,,,T,2
558,-79.24662127,43.1195384,,,T,2
559,-79.24662221,43.1196175,,,T,2
560,-79.24687585,43.1193579,,,T,2
561,-79.24721011,43.11935756,,,T,2
562,-79.24726418,43.11935618,,,T,2
563,-79.24730573,43.11932912,,,T,2
564,-79.24733094,43.11931106,,,T,2
565,-79.24762454,43.11932959,,,T,2
566,-79.24759148,43.11930981,,,T,2
567,-79.24738524,43.1193078,,,T,2
568,-79.24738453,43.11926559,,,T,2
569,-79.2473984,43.11925306,,,T,2
570,-79.24754226,43.11930574,,,T,2
571,-79.24754438,43.11926593,,,T,2
572,-79.24752698,43.11924946,,,T,2
573,-79.24692888,43.1198452,,,T,2
574,-79.24677352,43.11986424,,,T,2
575,-79.24677609,43.12006826,,,T,2
576,-79.24677903,43.12028274,,,T,2
577,-79.24648593,43.12028381,,,T,2
